RXCUI,ATC4,ATC2
1362831,B01AB,B01
1292881,A16AB,A16
208365,R05DB,R05
1307630,L01XE,L01
1307635,L01XE,L01
1243010,L01XE,L01
1243014,L01XE,L01
1601394,L01XE,L01
1601386,L01XE,L01
1601390,L01XE,L01
1987734,L01XE,L01
978727,B01AB,B01
978735,B01AB,B01
2058922,L01XE,L01
978737,B01AB,B01
978757,B01AB,B01
978741,B01AB,B01
978745,B01AB,B01
2103175,L01XE,L01
978747,B01AB,B01
2103179,L01XE,L01
978778,B01AB,B01
810075,G04BD,G04
810079,G04BD,G04
2057205,L03AA,L03
2057216,L03AA,L03
2099952,L01XX,L01
1722937,J01DH,J01
1722941,J01DH,J01
1307431,G04BE,G04
882530,G04BE,G04
1668240,J01FA,J01
637188,N07BA,N07
795735,N07BA,N07
637190,N07BA,N07
795737,N07BA,N07
1741049,L04AA,L04
616283,L01XE,L01
616287,L01XE,L01
1790546,L04AB,L04
1541928,L01XE,L01
205604,A01AB,A01
861061,A01AB,A01
702296,A01AB,A01
616292,L01XE,L01
877513,L01XX,L01
1357547,L04AA,L04
2048568,L04AA,L04
2099956,L01XX,L01
2058926,L01XE,L01
212542,C08CA,C08
212549,C08CA,C08
212575,C08CA,C08
597977,C08CA,C08
597987,C08CA,C08
597980,C08CA,C08
597967,C08CA,C08
597984,C08CA,C08
597990,C08CA,C08
404011,C08CA,C08
404013,C08CA,C08
2058932,L01XE,L01
207765,C08CA,C08
207772,C08CA,C08
207773,C08CA,C08
207774,C08CA,C08
750223,C08CA,C08
750219,C08CA,C08
750215,C08CA,C08
1191138,L01DB,L01
211307,J01FA,J01
212446,J01FA,J01
750149,J01FA,J01
226827,J01FA,J01
750157,J01FA,J01
211511,J01FA,J01
105260,J01FA,J01
105929,M01AC,M01
105930,M01AC,M01
581645,G04BE,G04
213269,G04BE,G04
213270,G04BE,G04
213271,G04BE,G04
208979,C02CA,C02
208980,C02CA,C02
208981,C02CA,C02
995255,N05BB,N05
995280,N05BB,N05
1670201,N03AB,N03
284404,C01BD,C01
284405,C01BD,C01
285016,C01BD,C01
1148506,L01XE,L01
1148502,L01XE,L01
1313887,N03AB,N03
617314,C10AA,C10
617318,C10AA,C10
617320,C10AA,C10
262095,C10AA,C10
809858,C09AA,C09
809854,C09AA,C09
882559,C09AA,C09
201737,N03AD,N03
104836,N06AF,N06
855673,N03AB,N03
261281,N03AX,N03
207331,C01DA,C01
207346,C01DA,C01
207361,C01DA,C01
261280,N03AX,N03
207088,N03AD,N03
207891,C09AA,C09
207892,C09AA,C09
207893,C09AA,C09
207895,C09AA,C09
205751,C10AB,C10
105028,N03AX,N03
105029,N03AX,N03
105030,N03AX,N03
607026,N03AX,N03
607033,N03AX,N03
607038,N03AX,N03
607018,N03AX,N03
607020,N03AX,N03
607022,N03AX,N03
607028,N03AX,N03
607024,N03AX,N03
898718,N03AX,N03
1994395,N03AX,N03
1994389,N03AX,N03
1994392,N03AX,N03
351973,N03AX,N03
1313884,N03AB,N03
755357,N03AD,N03
855871,N03AB,N03
